pred_col,date,regime,top_return,bottom_return,equal_weight_return,exclude_bottom_return,long_short_return,top_minus_equal_weight,exclude_bottom_minus_equal_weight,n_top,n_bottom,n_total
pred_fe_b3,2021-09-20,other,0.01482365313202907,-0.020763277157153204,-0.004002320855371051,0.00011264446422815926,0.03558693028918228,0.018825973987400123,0.004114965319599211,42,41,208
pred_fe_b3,2021-09-27,other,0.02702518846407942,0.0068659886375108965,0.01737607527777538,0.019941036898316118,0.020159199826568525,0.009649113186304039,0.002564961620540738,42,41,209
pred_fe_b3,2021-10-04,other,-0.006732286929126106,-0.002883743070852703,-0.0069344076601241915,-0.007940936436852258,-0.0038485438582734027,0.00020212073099808592,-0.0010065287767280669,42,41,206
pred_fe_b3,2021-10-11,other,0.017469663197772316,0.014924306945358158,0.014775416230819053,0.014738419144175998,0.0025453562524141576,0.002694246966953263,-3.699708664305426e-05,42,41,206
pred_fe_b3,2021-10-18,other,0.028821807423147397,0.014985558642372132,0.02075731392908612,0.02218286794568415,0.013836248780775265,0.008064493494061277,0.001425554016598031,42,41,207
pred_fe_b3,2021-10-25,other,-0.006712280336992832,0.01763666309547655,0.007168740533024077,0.0046140689552827,-0.024348943432469385,-0.01388102087001691,-0.002554671577741377,42,41,209
pred_fe_b3,2021-11-01,other,0.0005770234638769996,0.012276726680230972,0.0074974015447606505,0.006302570260893072,-0.011699703216353972,-0.006920378080883651,-0.0011948312838675782,43,42,210
pred_fe_b3,2021-11-08,other,0.01718949620042481,0.043262348162266324,0.02964527899963263,0.026302166211201607,-0.026072851961841514,-0.01245578279920782,-0.003343112788431024,42,41,208
pred_fe_b3,2021-11-15,other,-0.033312763030309715,-0.007924637745746439,-0.01650029244405969,-0.01859316055495757,-0.025388125284563277,-0.016812470586250024,-0.002092868110897879,42,41,209
pred_fe_b3,2021-11-22,other,0.022397553645495734,-0.012605127908730772,0.003713354189218821,0.0077196881174579415,0.035002681554226506,0.018684199456276914,0.00400633392823912,42,41,208
pred_fe_b3,2021-11-29,other,0.0006304945647335564,0.008209351967112036,0.0028089499076165204,0.001490994643096782,-0.00757885740237848,-0.002178455342882964,-0.0013179552645197384,42,41,209
pred_fe_b3,2021-12-06,other,0.01697171722120819,0.005878718289875351,0.016308880305771278,0.018854336512031594,0.01109299893133284,0.0006628369154369138,0.002545456206260316,42,41,209
pred_fe_b3,2021-12-13,other,-0.007435665295116188,0.012837235967675149,0.0038994790906478663,0.0017051794980842815,-0.020272901262791337,-0.011335144385764055,-0.002194299592563585,42,41,208
pred_fe_b3,2021-12-20,other,-0.0023105402870170584,0.009844570801609257,0.007672168274189893,0.0071290676423350526,-0.012155111088626314,-0.009982708561206952,-0.0005431006318548405,43,42,210
pred_fe_b3,2021-12-27,other,0.0009859926602511027,0.015596845885614894,-0.0022203972321462677,-0.006568652993028456,-0.01461085322536379,0.0032063898923973704,-0.004348255760882188,42,41,209
pred_fe_b3,2022-01-04,stress,0.018998440420970562,-0.002410630972650646,0.011619786648378233,0.015064380196055981,0.021409071393621207,0.007378653772592329,0.003444593547677748,42,41,208
pred_fe_b3,2022-01-10,stress,-0.011165352489251988,-0.05108866107960196,-0.03770306154547371,-0.03435666166194165,0.03992330859034997,0.02653770905622172,0.00334639988353206,42,41,205
pred_fe_b3,2022-01-17,stress,0.000841385901702441,-0.05397880852184562,-0.02422496114894973,-0.016963605540088245,0.05482019442354806,0.025066347050652173,0.007261355608861486,42,41,209
pred_fe_b3,2022-01-24,stress,-0.014614176389500022,-0.023394860890849214,-0.009787626861125168,-0.006426803998361999,0.008780684501349192,-0.004826549528374854,0.0033608228627631694,42,41,207
pred_fe_b3,2022-02-07,stress,0.020974622754016316,0.02898227155654818,0.029000074378897442,0.02900447146152588,-0.008007648802531863,-0.008025451624881125,4.397082628438548e-06,42,41,207
pred_fe_b3,2022-02-14,stress,0.001238676607118653,0.04326236719678014,0.020505361979583088,0.014954872902217947,-0.04202369058966148,-0.019266685372464436,-0.005550489077365141,41,40,204
pred_fe_b3,2022-02-21,stress,0.02027263883119694,0.005890461097241142,0.014435786723987688,0.016572118130674326,0.014382177733955798,0.005836852107209252,0.0021363314066866375,42,41,205
pred_fe_b3,2022-02-28,stress,0.013665872539172638,0.04169399921054488,0.02126349505830729,0.016217406683357045,-0.028028126671372243,-0.007597622519134652,-0.005046088374950245,42,41,207
pred_fe_b3,2022-03-07,stress,0.0005881595740549469,0.007560171002178166,0.002447429289640024,0.0011846436859408432,-0.0069720114281232185,-0.001859269715585077,-0.0012627856036991807,42,41,207
pred_fe_b3,2022-03-14,stress,-0.009176223964922927,0.019094586239250234,0.002176335682827338,-0.00202759324331411,-0.02827081020417316,-0.011352559647750265,-0.004203928926141447,42,41,206
pred_fe_b3,2022-03-21,stress,0.017379828040491017,0.007725412181070528,0.020947149974432987,0.024232551486723052,0.00965441585942049,-0.0035673219339419707,0.003285401512290065,42,41,206
pred_fe_b3,2022-03-28,stress,-0.011715650779659841,-0.010576183801614764,-0.017454709363327277,-0.019153622303268315,-0.0011394669780450777,0.005739058583667436,-0.0016989129399410385,42,41,207
pred_fe_b3,2022-04-04,stress,8.547914237531466e-05,-0.06365607659488708,-0.02135998925497581,-0.010975919908051487,0.0637415557372624,0.021445468397351126,0.010384069346924324,42,41,208
pred_fe_b3,2022-04-12,stress,0.02552694395406459,-0.035500146325127005,-0.0022813708635173184,0.005825592195565999,0.06102709027919159,0.02780831481758191,0.008106963059083318,42,41,209
pred_fe_b3,2022-04-18,stress,-0.014634309197977424,-0.0966385488052504,-0.04901617169182114,-0.037324450364572034,0.08200423960727297,0.034381862493843715,0.011691721327249105,42,41,208
pred_fe_b3,2022-04-25,stress,0.009987098049269876,0.06140892701041403,0.0243414454129368,0.015186224054523745,-0.05142182896114415,-0.014354347363666923,-0.009155221358413054,42,41,207
pred_fe_b3,2022-05-04,stress,0.00017251558819618215,-0.07335116111685773,-0.03427203408221,-0.02450225232354807,0.07352367670505391,0.03444454967040619,0.009769781758661934,42,41,205
pred_fe_b3,2022-05-09,stress,0.00962165289907577,-0.031066302560679368,-0.00707134060366375,-0.0011089561173750202,0.040687955459755135,0.01669299350273952,0.005962384486288729,42,41,206
pred_fe_b3,2022-05-16,stress,0.004358680784035239,0.020280967326514573,0.014543778990564617,0.013144464762284138,-0.015922286542479333,-0.010185098206529377,-0.0013993142282804783,41,40,204
pred_fe_b3,2022-05-23,stress,-0.0090825611152389,0.02075258759690061,0.007489227342662772,0.004214323576184293,-0.029835148712139513,-0.016571788457901672,-0.003274903766478479,41,40,202
pred_fe_b3,2022-05-30,stress,0.0060991880827763415,-0.03442724796129936,-0.011670110818064622,-0.006015307043079023,0.0405264360440757,0.017769298900840964,0.005654803774985599,42,41,206
pred_fe_b3,2022-06-06,stress,0.029730920027399767,-0.002438365557150947,0.0069324530869710925,0.009218018609927686,0.03216928558455071,0.022798466940428676,0.0022855655229565936,41,40,204
pred_fe_b3,2022-06-13,stress,0.004179175825575407,-0.10996834030664125,-0.04831132937665829,-0.032990496357692835,0.11414751613221666,0.052490505202233695,0.015320833018965453,42,41,206
pred_fe_b3,2022-06-20,stress,0.0057867285113467415,0.043355978273850376,0.01786955056620433,0.01153655943884986,-0.037569249762503636,-0.01208282205485759,-0.006332991127354472,42,41,206
pred_fe_b3,2022-06-27,stress,-0.007191333571764296,0.00913634095297874,0.002739250730622171,0.001139978175033028,-0.016327674524743038,-0.009930584302386468,-0.0015992725555891432,41,40,200
pred_fe_b3,2022-07-04,stress,0.014480085637254312,0.01739083900412669,0.0063490164927847295,0.0036393667967498937,-0.0029107533668723783,0.008131069144469583,-0.002709649696034836,41,40,203
pred_fe_b3,2022-07-11,stress,0.004651595582890961,0.03491810856944906,0.023407763882777422,0.02060036273968678,-0.0302665129865581,-0.01875616829988646,-0.002807401143090641,41,40,204
pred_fe_b3,2022-07-18,stress,-0.0012681907623274319,-0.006565239881578773,-0.004405747139124028,-0.0038692272031104267,0.005297049119251341,0.003137556376796596,0.0005365199360136013,41,40,201
pred_fe_b3,2022-07-25,stress,0.004046802550038737,-0.009696404477358863,-0.00039528558962238124,0.0019299941323117412,0.0137432070273976,0.004442088139661118,0.0023252797219341223,42,41,205
pred_fe_b3,2022-08-01,stress,0.006726835595146011,0.016034975503778297,0.009715109385561235,0.008173678625020489,-0.009308139908632286,-0.002988273790415224,-0.0015414307605407466,41,40,204
pred_fe_b3,2022-08-08,stress,-0.0034773442407134885,-0.003722283991303267,-0.0019638786884268035,-0.0015349993462618115,0.0002449397505897787,-0.001513465552286685,0.00042887934216499194,41,40,204
pred_fe_b3,2022-08-15,stress,-0.006559672733436248,-0.01056811346511272,-0.006845195467656456,-0.005931595959078231,0.004008440731676471,0.00028552273422020793,0.0009135995085782249,41,40,203
pred_fe_b3,2022-08-22,stress,-0.00010803688293820616,-0.009328976263451047,-0.004049175025476548,-0.002761418625970574,0.009220939380512841,0.0039411381425383425,0.0012877563995059745,41,40,204
pred_fe_b3,2022-08-29,stress,-0.004051821110940306,0.0057617000990529835,-0.0012327672794027386,-0.0029597962617374856,-0.009813521209993289,-0.0028190538315375673,-0.001727028982334747,41,40,202
pred_fe_b3,2022-09-05,stress,0.0017599831943491534,0.0009154261920004736,-0.0020917738649256393,-0.0028297370690792867,0.0008445570023486799,0.0038517570592747925,-0.0007379632041536474,41,40,203
pred_fe_b3,2022-09-12,stress,0.0031762316625592118,-0.02891849623798084,-0.00651098566721913,-0.00104573918654554,0.03209472790054005,0.009687217329778341,0.00546524648067359,41,40,204
pred_fe_b3,2022-09-19,stress,0.013378965919955497,0.00148693784965763,0.006915902880095273,0.008255963868621022,0.011892028070297867,0.006463063039860223,0.0013400609885257488,40,39,197
pred_fe_b3,2022-09-26,stress,-0.020437970412402723,-0.014954618498036953,-0.012050246827637692,-0.011324153910037877,-0.00548335191436577,-0.008387723584765031,0.0007260929175998149,41,40,200
pred_fe_b3,2022-10-03,stress,0.015287093739243814,-0.010795532232012716,-0.0050081529801242995,-0.0035613081671521953,0.02608262597125653,0.020295246719368113,0.0014468448129721042,41,40,200
pred_fe_b3,2022-10-10,stress,-0.0024151298193739973,-0.012109102942416227,-0.0044238680778742575,-0.0025025593617387662,0.009693973123042229,0.00200873825850026,0.0019213087161354912,41,40,200
pred_fe_b3,2022-10-17,stress,0.014078632736987855,-0.08287893286474093,-0.029348229017571857,-0.016048675266722396,0.09695756560172879,0.04342686175455971,0.013299553750849461,41,40,201
pred_fe_b3,2022-10-24,stress,-0.01640287460298778,-0.031272779012865494,-0.033230435409446805,-0.033710615280306375,0.014869904409877715,0.016827560806459026,-0.0004801798708595692,40,39,198
pred_fe_b3,2022-10-31,stress,-0.01558292540041456,-0.05523957510109677,-0.025382088094090656,-0.01810432563613291,0.03965664970068221,0.009799162693676096,0.007277762457957745,40,39,199
pred_fe_b3,2022-11-07,stress,-0.07051088645087855,-0.11195848489984062,-0.07695684835274953,-0.0684251994443961,0.041447598448962064,0.006445961901870981,0.008531648908353437,40,39,199
pred_fe_b3,2022-11-14,stress,0.012389339524850239,0.07376715991925406,0.03009952802862141,0.01918262005596325,-0.06137782039440382,-0.017710188503771172,-0.010916907972658162,41,40,200
pred_fe_b3,2022-11-21,stress,-0.0037298876602325126,0.038281099970730155,0.011874090329814827,0.005353841035761659,-0.04201098763096267,-0.015603977990047339,-0.006520249294053168,41,40,202
pred_fe_b3,2022-11-28,stress,-0.03377135721742002,0.049897188544016285,0.007762630411598923,-0.002577138455251961,-0.08366854576143631,-0.04153398762901894,-0.010339768866850884,41,40,203
pred_fe_b3,2022-12-05,stress,0.0431513284443059,0.004986148297027099,0.02364762217323088,0.028284013198374678,0.0381651801472788,0.01950370627107502,0.004636391025143797,41,40,201
pred_fe_b3,2022-12-12,stress,0.010307314551060551,0.0069974481615499755,0.009963441091058314,0.01070033374435231,0.0033098663895105756,0.00034387346000223744,0.0007368926532939964,41,40,201
pred_fe_b3,2022-12-19,stress,-0.03632806177374982,-0.03720237308785216,-0.027776093120643837,-0.025478437378636802,0.000874311314102337,-0.008551968653105986,0.002297655742007035,40,39,199
pred_fe_b3,2022-12-26,stress,0.02177686900864652,-0.001098220950403847,0.007395266029192782,0.009465553480469461,0.022875089959050365,0.014381602979453737,0.002070287451276679,40,39,199
pred_fe_b3,2023-01-03,stress,-0.0077456225526217875,-0.031488178532092966,-0.014442711389372977,-0.010287878773334976,0.023742555979471176,0.0066970888367511895,0.004154832616038001,40,39,199
pred_fe_b3,2023-01-09,stress,0.019497447698818067,-0.02125276963109204,-0.0007284025378825761,0.00433773870664381,0.040750217329910104,0.020225850236700642,0.005066141244526387,40,39,197
pred_fe_b3,2023-01-16,stress,0.01897651804738896,0.04539150807943281,0.028269367007512636,0.024069596555909567,-0.026414990032043853,-0.009292848960123678,-0.004199770451603069,40,39,198
pred_fe_b3,2023-01-27,stress,-0.0014369063632809556,0.012049653001261004,0.00842011204844209,0.007535411441192479,-0.01348655936454196,-0.009857018411723045,-0.0008847006072496104,40,39,199
pred_fe_b3,2023-01-30,stress,-0.008262160645408828,-0.01825007952249798,-0.013165567906421908,-0.01190233520677568,0.009987918877089153,0.0049034072610130795,0.0012632326996462277,41,40,201
pred_fe_b3,2023-02-06,stress,-0.0050446102290389715,-0.021736473753749038,-0.009744309442005638,-0.006784218251132266,0.01669186352471007,0.004699699212966667,0.0029600911908733724,40,39,197
pred_fe_b3,2023-02-13,stress,0.041719091555501644,0.02634198320180826,0.02523644363417914,0.024960058742271855,0.015377108353693384,0.016482647921322504,-0.0002763848919072852,41,40,200
pred_fe_b3,2023-02-20,stress,0.005413430757594083,-0.010518287792667641,0.0023268133288766473,0.0054984432354307925,0.015931718550261723,0.003086617428717436,0.003171629906554145,41,40,202
pred_fe_b3,2023-02-27,stress,0.014624245512946039,-0.003909049222426202,0.004909356136853752,0.007086740176182137,0.01853329473537224,0.009714889376092287,0.0021773840393283844,41,40,202
pred_fe_b3,2023-03-06,stress,-0.01658405417133712,-0.01747043435506378,-0.015706139030649043,-0.015267804788558426,0.0008863801837266615,-0.0008779151406880757,0.00043833424209061694,41,40,201
pred_fe_b3,2023-03-13,stress,0.004463211638084076,0.005711935990126075,0.008466170549103265,0.009137935075683067,-0.0012487243520419994,-0.004002958911019189,0.0006717645265798024,41,40,204
pred_fe_b3,2023-03-20,stress,-0.00823835872180865,-0.010094739686678914,-0.004408977212057391,-0.003023072608868396,0.001856380964870263,-0.003829381509751259,0.0013859046031889951,40,39,199
pred_fe_b3,2023-03-27,stress,-0.005717548460206429,0.005484279343535872,0.0006059514386880426,-0.0006060554941934054,-0.011201827803742301,-0.006323499898894472,-0.001212006932881448,41,40,201
pred_fe_b3,2023-04-03,stress,0.019291710127939544,0.048891845421050434,0.02654285314627457,0.020955605077580604,-0.02960013529311089,-0.007251143018335026,-0.005587248068693967,41,40,200
